task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
43	f5/553e70	12452	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S4)	COMPLETED	0	2025-12-09 00:11:41.206	6.6s	6.1s	192.0%	5.3 GB	12.2 GB	5.2 GB	4.5 MB
26	03/f76fdd	13076	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S4)	COMPLETED	0	2025-12-09 00:11:47.829	7.1s	6.7s	209.0%	5.3 GB	12.2 GB	5.2 GB	4.5 MB
47	1e/f3eed3	13703	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S4)	COMPLETED	0	2025-12-09 00:11:55.002	6.7s	6.2s	211.1%	5.3 GB	12.4 GB	5.2 GB	4.5 MB
61	dd/80b2ea	14327	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S4)	COMPLETED	0	2025-12-09 00:12:01.724	7.6s	6.6s	211.9%	5.3 GB	12.2 GB	5.2 GB	4.1 MB
60	57/53ff96	14964	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S4)	COMPLETED	0	2025-12-09 00:12:09.304	7.2s	6.7s	216.7%	5.3 GB	12.2 GB	5.2 GB	4.2 MB
38	94/f744e9	15589	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S4)	COMPLETED	0	2025-12-09 00:12:16.475	7s	6.5s	198.1%	5.3 GB	12.2 GB	5.2 GB	4.5 MB
54	08/0f28dd	16215	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (S4)	COMPLETED	0	2025-12-09 00:12:23.508	6.4s	6s	195.4%	5.3 GB	12.2 GB	5.2 GB	4.5 MB
89	0e/bc65b3	16849	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (S4)	COMPLETED	0	2025-12-09 00:12:32.007	46.3s	45.1s	144.2%	7.9 GB	29.5 GB	6.1 GB	14.6 MB
90	b8/5212b7	18450	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:SAMTOOLS_STATS (S4)	COMPLETED	0	2025-12-09 00:13:24.461	21.1s	20s	101.9%	254.1 MB	333.8 MB	5.9 GB	291.1 KB
91	31/14b70c	18502	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:CRAM_QC_MOSDEPTH_SAMTOOLS:MOSDEPTH (S4)	COMPLETED	0	2025-12-09 00:13:24.666	56.5s	56s	101.1%	2.8 GB	2.8 GB	4.2 GB	31.9 MB
108	78/ad11ef	20469	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:28.486	17.9s	17.2s	154.2%	615 MB	7.5 GB	343.5 MB	739.5 KB
97	80/117050	20450	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:28.470	18.6s	17.8s	137.7%	510.3 MB	7.5 GB	330.5 MB	768 KB
94	54/bd6806	20443	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:28.449	18.7s	18s	147.4%	711.6 MB	7.3 GB	322.3 MB	745.2 KB
99	c6/7468a7	20527	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:28.519	20.4s	19.9s	161.9%	669.4 MB	11 GB	393.1 MB	1 MB
103	76/5b65fb	20366	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:27.997	21s	20s	156.1%	758.7 MB	11 GB	473.9 MB	990.1 KB
93	28/be5153	20497	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:28.503	20.7s	20.2s	152.4%	686.4 MB	10.9 GB	378.9 MB	1.1 MB
107	c6/8d5b56	20562	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:28.534	20.7s	20.2s	167.7%	663.9 MB	10.9 GB	661.7 MB	1.2 MB
102	bb/4675ea	27244	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:46.366	15.4s	14.2s	182.6%	885.4 MB	12.1 GB	303.6 MB	747.1 KB
95	d2/170408	28781	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:47.183	15.7s	15.2s	202.2%	1017.9 MB	11.7 GB	324.7 MB	1 MB
100	e0/946d6c	28709	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:47.100	15.8s	15.4s	208.7%	1.1 GB	11.7 GB	559.1 MB	1 MB
101	58/7123ee	29418	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:48.969	15.6s	15s	216.1%	1.1 GB	11.7 GB	718.7 MB	1003.6 KB
106	e8/a33c6a	29454	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:49.025	15.5s	15s	189.8%	1.4 GB	11.7 GB	599.1 MB	738.7 KB
104	cf/0405ce	29831	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:49.310	15.6s	15s	201.8%	1.1 GB	11.9 GB	584 MB	914.8 KB
105	54/8ed889	29698	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:14:49.197	16s	15.6s	210.7%	1 GB	11.7 GB	655.2 MB	1017.1 KB
98	55/927653	36820	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:15:02.887	14.7s	14.2s	230.1%	845.6 MB	11.9 GB	423 MB	1 MB
113	9b/2dd0f8	38310	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:15:04.528	13.1s	12.5s	196.6%	609.2 MB	11.9 GB	326.8 MB	708.1 KB
112	a1/854848	36877	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:15:02.948	15.9s	15.4s	205.0%	1 GB	11.7 GB	396.5 MB	1.1 MB
96	7e/09d334	35841	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:15:01.783	17.3s	16.9s	210.5%	1008.7 MB	7.6 GB	376.8 MB	1.2 MB
111	35/dc37f9	38337	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:15:04.553	14.8s	14.3s	191.4%	729.8 MB	11.9 GB	522.4 MB	735.1 KB
109	6f/ba41aa	38608	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:15:04.899	15.2s	14.8s	201.7%	1.1 GB	11.8 GB	369.3 MB	992.3 KB
110	3c/bc3c2f	38858	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_BASERECALIBRATOR (S4)	COMPLETED	0	2025-12-09 00:15:05.194	17s	16.5s	221.4%	1.2 GB	7.7 GB	388.1 MB	1.2 MB
114	44/dc6dbb	45710	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_BASERECALIBRATOR:GATK4_GATHERBQSRREPORTS (S4)	COMPLETED	0	2025-12-09 00:15:22.289	11.1s	10.5s	271.2%	500.8 MB	11.9 GB	105 MB	1.6 MB
117	c1/21a13b	46979	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:15:46.761	15.8s	15.2s	183.1%	969.8 MB	11.7 GB	465.6 MB	1.2 MB
116	5a/c30834	47114	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:15:47.222	15.7s	14.8s	178.6%	900.2 MB	11.7 GB	481.5 MB	960.7 KB
126	44/4aa6f8	47131	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:15:47.230	16.1s	15.7s	191.7%	1.2 GB	11.9 GB	875.3 MB	982.6 KB
129	95/11019a	47102	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:15:47.214	16.2s	15.8s	208.1%	1 GB	11.9 GB	816.5 MB	1.2 MB
125	b0/13593c	47179	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:15:47.245	16.8s	16.2s	179.9%	1.2 GB	11.7 GB	778 MB	1.1 MB
118	b6/011f2d	47080	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:15:47.197	16.9s	16.3s	199.6%	1.1 GB	11.7 GB	577 MB	1.9 MB
115	a9/c786ba	47153	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:15:47.238	16.9s	16.4s	193.6%	1.3 GB	11.7 GB	565.9 MB	1.3 MB
119	5d/cab723	55779	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:02.889	15.2s	14.7s	178.1%	635.8 MB	11.9 GB	469.6 MB	973.4 KB
130	30/b6e5e2	56440	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:04.030	15.1s	14.6s	191.9%	725.4 MB	11.9 GB	523.6 MB	935.3 KB
124	0e/b91287	55924	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:03.312	16.3s	15.9s	160.9%	904.1 MB	11.7 GB	448.9 MB	922.9 KB
120	d6/f87964	56568	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:04.141	16.2s	15.7s	201.0%	1.1 GB	11.9 GB	685.9 MB	1.1 MB
122	52/fba31b	55637	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:02.625	17.7s	16.9s	190.5%	1.2 GB	10.9 GB	799.4 MB	1.1 MB
121	bd/776f27	56480	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:04.078	16.4s	15.9s	190.4%	1 GB	11.9 GB	617.8 MB	1 MB
128	92/a08386	56073	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:03.444	17.6s	17.1s	174.8%	1.5 GB	7.6 GB	1 GB	976.1 KB
123	ef/07d382	63391	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:18.148	15.8s	15.3s	202.1%	1.2 GB	11.9 GB	995.7 MB	1 MB
127	ac/7abfec	63912	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:19.113	15.9s	15.4s	199.2%	1 GB	11.9 GB	778.1 MB	1.2 MB
135	03/fc1497	65261	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:21.001	14s	13.6s	183.2%	593.6 MB	11.8 GB	373.3 MB	837.5 KB
131	6e/5a4fa4	64331	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:19.603	15.6s	15s	203.9%	1.2 GB	11.7 GB	578.7 MB	1005.3 KB
133	ce/3bade0	64713	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:20.380	15.2s	14.8s	193.2%	1 GB	11.8 GB	711.2 MB	960.9 KB
134	97/dc2fd1	64771	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:20.446	16.1s	15.7s	189.5%	1 GB	11.7 GB	624 MB	1.1 MB
132	32/41105a	64686	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:GATK4_APPLYBQSR (S4)	COMPLETED	0	2025-12-09 00:16:20.327	16.9s	16.4s	199.3%	1.1 GB	7.6 GB	616.6 MB	1.6 MB
136	d9/8d8e3c	72680	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:MERGE_CRAM (S4)	COMPLETED	0	2025-12-09 00:16:38.830	23.8s	23s	112.7%	1.1 GB	1.2 GB	7.6 GB	4.3 MB
137	44/b1df5f	73550	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_APPLYBQSR:CRAM_MERGE_INDEX_SAMTOOLS:INDEX_CRAM (S4)	COMPLETED	0	2025-12-09 00:17:02.650	648ms	1s	103.2%	2.5 MB	10.2 MB	4.5 MB	5.4 KB
138	f8/ff9d1e	73771	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:SAMTOOLS_STATS (S4)	COMPLETED	0	2025-12-09 00:17:13.943	20.9s	20s	102.8%	255.7 MB	332.5 MB	5.9 GB	277.1 KB
140	46/91eb3b	73791	NFCORE_SAREK:SAREK:CRAM_SAMPLEQC:CRAM_QC_RECAL:MOSDEPTH (S4)	COMPLETED	0	2025-12-09 00:17:13.994	53.5s	53s	100.7%	2 GB	2.1 GB	4 GB	31.9 MB
162	5a/d43b7f	125270	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:26:18.760	15s	13.9s	175.5%	529.1 MB	14 GB	462.4 MB	694.8 KB
155	9f/83f3d3	125267	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:26:18.752	15.1s	13.9s	182.8%	571.9 MB	14.2 GB	394.7 MB	694.8 KB
170	eb/9b60d6	128536	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:26:33.811	8.5s	8.1s	291.9%	485.7 MB	14.1 GB	258.7 MB	694.9 KB
161	95/edbc5c	128510	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:26:33.768	9.7s	9.2s	286.2%	693.1 MB	14.2 GB	528.9 MB	694.8 KB
173	c2/ab6488	131732	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:26:43.483	9.2s	8.8s	279.1%	627 MB	13.9 GB	379.1 MB	695.3 KB
172	3a/dfa8e8	131266	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:26:42.358	10.4s	9.9s	257.5%	1.2 GB	14 GB	573.3 MB	694.7 KB
160	55/135b3d	133824	NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_TUMOR_ONLY_MUTECT2:GETPILEUPSUMMARIES (S4)	COMPLETED	0	2025-12-09 00:26:52.739	10.2s	9.7s	258.7%	801 MB	14.1 GB	360.4 MB	694.8 KB
